start,today,deviceid,simserial,subscriberid,"Welcome to the OCA Bamako Project. In this project, you will collect data about identified features and their respective attributes across Bamako District.",Name of data collector,City,Commune,Name of quartier,Name of sector,Name of sector,Geopoint of health facility,_Geopoint of health facility_latitude,_Geopoint of health facility_longitude,_Geopoint of health facility_altitude,_Geopoint of health facility_precision,Nature of the facility,Type of the facility,What is the nature of the heath facility,What is the scope of services provided by health facility?,What is the ancillary services provided by health facility?,What is the type of the services provided by the facility?,Number of beds in the health facility,"Average number of patients per day, disaggregated (total)","Average number of patients per day, disaggregated (male)","Average number of patients per day, disaggregated (female)",Does this medical facility offer emergency services?,Does this facility offer dispensing prescription medication? (in pharmacy),Opening days and times,Opening days and times/Mo-Fri 07:30-13:30,Opening days and times/Mo-Sa 07:30-15:00,Opening days and times/Mo-Fri 08:00-17:00,Opening days and times/Mo-Fri 09:00-17:00,Opening days and times/Mo-Su 07:00-20:00,Opening days and times/Mo-Fri 07:00-13:30,Opening days and times/24/7,Opening days and times/Other,What type of operator is this?,What is the name of the operator?,What is the health care specialty of this facility,What is the number of doctors?,What is the number of nurses?,Phone number of health facility,Does the facility have toilets?,Type of facility,Is the facility usable,Is the facility separated boys/girls,Is the facility equiped for menstrual hygiene management,Is facility separated for staff and non staff?,Is  the facility meet needs for limited mobility?,Is there existance of handwashing at the facility?,"If yes, How many","Does the facility has Station with basin, soap and water / OR with alcohol-based hand rub",Is the station within 5 meters of toilets,Is there existance of a water point?,Is the facility improved?,Is water located on school premises?,"WASH package management, O&M and financing",Is there a dedicated person for maintenance/cleaning facilities,Frequency of cleaning,Latrine Emptying,You are now at end of this form. Thank you for filling it out. Swipe to the next page/screen and save form.,_id,_uuid,_submission_time,_validation_status,_index
2021-02-15T12:29:02.523Z,2021-02-15,collect:yj2h1Rz8Ksd54l2S,,,,Théophile DARA,Bamako,Commune VI,Magnambougou,,Magnabougou fassokanu,12.6129531 -7.9676496 339.0852792765702 3.26,12.6129531,-7.9676496,339.08527927657,3.26,Clinique Médicale ESTHER,Clinic,Clinic bed,All,Imaging equipment,Medicine,,,,,Yes,Yes,24/7,0,0,0,0,0,0,1,0,Private,,General,,,20200390,Yes,Improved,Yes,,,yes,,Existence of handwashing post/station(s):,2,Facility with water and soap,not,Water point exists,yes,Water located near healthcre premises,Existence of Management Committee including WASH issues,Yes,At least once a week,Other,,1670,8e5dcd7c-582f-4dee-b547-f444e59d2c53,2021-02-15T17:12:20,,211
2021-02-15T10:00:06.982Z,2021-02-15,collect:FqitT56WpXPmMGWo,,,,KANTE,Bamako,Commune II,Quinzambougou,,Clinique Aldi,12.6481491 -7.9817793 359.26001220703125 20.0,12.6481491,-7.9817793,359.260012207031,20,Clinique privée,Clinic,Clinic bed,All,Imaging equipment,Martenal care,5,10,5,5,Yes,No,24/7,0,0,0,0,0,0,1,0,Private,Clinique Aldi,Mental health,14,4,75249777,Yes,Improved,Yes,No,Facility is equipped for menstrual hygiene management,yes,Yes,Existence of handwashing post/station(s):,4,Facility with water and soap,not,Water point exists,yes,Water located near healthcre premises,Existence of Management Committee including WASH issues,Yes,Once a day,Other,,1681,32618ff4-730f-4f69-aee1-6b10e5d12d40,2021-02-15T17:19:34,,213
2021-02-15T10:12:35.710Z,2021-02-15,collect:vZ1IuJDmO5Vr0btQ,,,,Daouda Sangaré,Bamako,Commune V,Gantiguibougou,,Garantiguibougou,12.5596917 -8.003235 380.6 3.06,12.5596917,-8.003235,380.6,3.06,Clinique médical,Clinic,,All,Laboratory,Medicine,,,,,Yes,Yes,24/7,0,0,0,0,0,0,1,0,Private,Clinique H24,General,,,75356149,,,,,,,,,,,,,,,,,,,,1702,5f9c6dd5-fd77-4b8c-bf49-08589bd2ed0b,2021-02-15T17:23:13,,214
2021-02-15T11:46:55.959Z,2021-02-15,collect:vZ1IuJDmO5Vr0btQ,,,,Daouda Sangaré,Bamako,Commune V,Gantiguibougou,,3e plaque,12.5663819 -8.0019492 356.7 3.3,12.5663819,-8.0019492,356.7,3.3,Clinique médical,Clinic,,All,Laboratory,Medicine,6,3,2,1,Yes,Yes,24/7,0,0,0,0,0,0,1,0,Private,Cabinet médical Drabo,General,1,1,91208788,Yes,Improved,Yes,,Facility is not equipped for menstrual hygiene management,yes,No,Existence of handwashing post/station(s):,3,Facility with water and soap,yes,Water point exists,yes,Water located near healthcre premises,Existence of Management Committee including WASH issues,Yes,Once a day,Manual Emptier,,1725,b2ac0c7b-8245-4c17-8adf-e64555c97a64,2021-02-15T17:23:31,,216
2021-02-15T15:35:11.824Z,2021-02-15,collect:vZ1IuJDmO5Vr0btQ,,,,Daouda Sangaré,Bamako,Commune V,Gantiguibougou,,Jakarta terrain,12.5755783 -8.0005417 363.7 2.98,12.5755783,-8.0005417,363.7,2.98,Cabinet médical,Clinic,,All,Laboratory,Medicine,4,4,2,2,Yes,Yes,24/7,0,0,0,0,0,0,1,0,Private,Cabinet médical NAATA,General,2,4,66961306,Yes,Improved,Yes,Yes,Facility is not equipped for menstrual hygiene management,yes,Yes,Existence of handwashing post/station(s):,3,Facility with water and soap,yes,Water point exists,yes,Water located near healthcre premises,Existence of Management Committee including WASH issues,Yes,Once a day,Manual Emptier,,1747,c1b6c4a7-4870-4a2d-9e0e-6f062adb3fd0,2021-02-15T17:23:45,,218
2021-02-15T16:02:17.846Z,2021-02-15,collect:vZ1IuJDmO5Vr0btQ,,,,Daouda Sangaré,Bamako,Commune V,Kalaban - Coura,,Golf,12.5736183 -8.0037983 373.4 3.466,12.5736183,-8.0037983,373.4,3.466,Clinique,Clinic,,All,Laboratory,Medicine,3,2,1,2,Yes,Yes,24/7,0,0,0,0,0,0,1,0,Private,Cabinet médical Hawa Sow,General,1,2,76463551,Yes,Improved,Yes,Yes,Facility is not equipped for menstrual hygiene management,yes,Yes,Existence of handwashing post/station(s):,1,Facility with water and soap,yes,Water point exists,yes,Water located near healthcre premises,Existence of Management Committee including WASH issues,Yes,Once a day,Manual Emptier,,1752,d4d55a60-34ff-4e82-95d5-5b17ded667e4,2021-02-15T17:23:49,,219
2021-02-15T16:26:33.663Z,2021-02-15,collect:vZ1IuJDmO5Vr0btQ,,,,Daouda Sangaré,Bamako,Commune V,Kalaban - Coura,,Kalaban coura,12.5737767 -8.0024633 370.1 3.3,12.5737767,-8.0024633,370.1,3.3,Cabinet médical le Guide,Clinic,,All,Laboratory,,3,2,2,1,Yes,Yes,24/7,0,0,0,0,0,0,1,0,Private,Cabinet médical le Guide,General,1,2,73208511,Yes,Improved,Yes,Yes,Facility is equipped for menstrual hygiene management,yes,Yes,Existence of handwashing post/station(s):,2,Facility with water and soap,yes,Water point exists,yes,Water located near healthcre premises,Existence of Management Committee including WASH issues,Yes,Once a day,Manual Emptier,,1757,155ff289-6f0c-4834-a848-09374a8101df,2021-02-15T17:23:53,,220
2021-02-15T10:49:28.229Z,2021-02-15,collect:8htkpzfiqj8dFVDp,,,,Habibatou sanogo,Bamako,Commune III,Sokonafing,,,12.6699817 -8.0149617 445.8600183105469 3.9,12.6699817,-8.0149617,445.860018310547,3.9,Clinique médicale (santé pour tous),Clinic,Clinic bed,General acute care,Intensive care unit,Medicine,3,10,5,5,No,No,Other,0,0,0,0,0,0,0,1,Private,,Social_care,1,2,,Yes,Unimproved,Yes,Yes,Facility is not equipped for menstrual hygiene management,no,No,Existence of handwashing post/station(s):,1,Facility with water and soap,yes,Water point exists,not,Water located near healthcre premises,"Committee own funding for major repairs, construction of new facilities",Yes,Once a day,Other,,1799,c1537434-a92e-4d5a-84b7-10e1a011affd,2021-02-15T18:41:06,,222
2021-02-15T10:35:46.031Z,2021-02-15,collect:EZ7wOdBrRXaKJzjD,,,,TRAORE Fatoumata ,Bamako,Commune VI,Yirimadio,,Attbougou 108,12.58512 -7.922135 364.07561218754245 3.7,12.58512,-7.922135,364.075612187542,3.7,Cabinet médical  Agna,Clinic,Clinic no beds,All,Intensive care unit,Medicine,6,2,1,1,No,Yes,24/7,0,0,0,0,0,0,1,0,Private,Dr kassambara Amadoun ,General,2,1,75639025,Yes,Improved,Yes,No,Facility is equipped for menstrual hygiene management,yes,Yes,Existence of handwashing post/station(s):,2,Facility with water and soap,not,Water point exists,yes,Water located near healthcre premises,,Yes,Once a day,Other,,1812,087a8dee-9331-44db-9d34-a26212f325a6,2021-02-15T18:48:47,,224
2021-02-15T11:53:27.826Z,2021-02-15,collect:EZ7wOdBrRXaKJzjD,,,,TRAORE Fatoumata ,Bamako,Commune VI,Yirimadio,,Yirimadio ,12.5818983 -7.9211917 381.26528018501597 4.38,12.5818983,-7.9211917,381.265280185016,4.38,"Le Domaine,  Centre médical ",Clinic,Clinic bed,Specialized,Laboratory,Medicine,7,0,0,0,Yes,Yes,24/7,0,0,0,0,0,0,1,0,Private,,General,1,0,94533320,Yes,Improved,Yes,Yes,Facility is equipped for menstrual hygiene management,no,No,Existence of handwashing post/station(s):,1,Facility with water and soap,not,Water point exists,yes,Water located near healthcre premises,,Yes,Once a day,Other,,1820,26815a2e-75fb-4532-a9df-e87f0aa81ce7,2021-02-15T18:48:54,,225
2021-02-15T10:12:02.151Z,2021-02-15,collect:2I1Tdd4038qf3eqE,,,,Amadou Minta ,Bamako,Commune VI,Banankabougou - LMK,,,12.6067684 -7.9345086 376.06 3.9,12.6067684,-7.9345086,376.06,3.9,CABINET MÉDICAL BINTOULA,Clinic,Clinic bed,General acute care,Intensive care unit,Social care,3,6,3,3,No,Yes,24/7,0,0,0,0,0,0,1,0,Private,,Social_care,1,2,72121263,Yes,Improved,Yes,No,,no,Yes,Existence of handwashing post/station(s):,1,Facility with water and soap,,Water point exists,yes,,,,,,,1864,3aef7b53-bacc-436d-8681-bff27eea5408,2021-02-15T19:08:08,,228
2021-02-15T11:11:46.813Z,2021-02-15,collect:2I1Tdd4038qf3eqE,,,,Amadou Minta ,Bamako,Commune VI,Banankabougou - LMK,,,12.6042814 -7.9448405 376.06 3.9,12.6042814,-7.9448405,376.06,3.9,CABINET MÉDICAL GALIEN,Clinic,Clinic bed,General acute care,,Social care,6,8,4,4,No,Yes,24/7,0,0,0,0,0,0,1,0,Private,,Community,1,3,76011567,Yes,Improved,Yes,No,,no,,Existence of handwashing post/station(s):,2,Facility with water and soap,yes,,,,,,,,,1872,605a5c0c-0862-4603-bc9d-9cada91239f8,2021-02-15T19:08:13,,229
2021-02-15T11:23:10.726Z,2021-02-15,collect:2I1Tdd4038qf3eqE,,,,Amadou Minta ,Bamako,Commune VI,Banankabougou - LMK,,,12.606285 -7.947099 376.06 3.9,12.606285,-7.947099,376.06,3.9,Clinique médicale bien-être ,Clinic,Clinic bed,All,,,10,12,,,Yes,Yes,24/7,0,0,0,0,0,0,1,0,Private,,General,2,4,75049918,Yes,Improved,Yes,No,,no,Yes,Existence of handwashing post/station(s):,2,Facility with water and soap,yes,Water point exists,yes,Water located near healthcre premises,,Yes,Once a day,,,1874,6ebc32f9-6fd7-4736-8aaa-86d934a6d31e,2021-02-15T19:08:14,,230
2021-02-15T13:30:30.789Z,2021-02-15,collect:2I1Tdd4038qf3eqE,,,,Amadou Minta ,Bamako,Commune VI,Dianéguéla,,,12.6216769 -7.9481391 376.06 3.9,12.6216769,-7.9481391,376.06,3.9,CABINET MÉDICAL baminata,Clinic,Clinic bed,All,,,6,,,,No,Yes,24/7,0,0,0,0,0,0,1,0,Private,,Community,1,3,76387513,Yes,Improved,Yes,No,,yes,,Existence of handwashing post/station(s):,2,Facility with water and soap,,Water point exists,yes,Water located near healthcre premises,,Yes,Once a day,,,1895,be94f189-4a72-478f-8259-93cc25d0a067,2021-02-15T19:08:28,,231
2021-02-15T10:07:34.507Z,2021-02-15,collect:DrFw3glO4ZWWLvKX,,,,KANTE Abou Drahamane,Bamako,Commune VI,Yirimadio,,Yirimadio Sud,12.5887117 -7.9252033 342.9 2.1,12.5887117,-7.9252033,342.9,2.1,Centre Médical le bonheur,Clinic,Clinic bed,All,Intensive care unit,Medicine,3,12,7,5,Yes,Yes,24/7,0,0,0,0,0,0,1,0,Private,Dr. Mariko Amara,General,66770058,3,66770058,Yes,Improved,Yes,Yes,Facility is equipped for menstrual hygiene management,yes,Yes,Existence of handwashing post/station(s):,2,Facility with water and soap,not,Water point exists,yes,Water located near healthcre premises,,Yes,Once a day,Other,,1929,a5ed8bd5-cb5f-4327-9d87-078f0e86f2f8,2021-02-15T19:24:22,,236
2021-02-15T15:43:29.672Z,2021-02-15,collect:DrFw3glO4ZWWLvKX,,,,KANTE Abou Drahamane,Bamako,Commune VI,Yirimadio,,Yirimadio,12.6026369 -7.9157199 339.2 3.7,12.6026369,-7.9157199,339.2,3.7,"Cabinet de soins ""Macalou""",Clinic,Clinic bed,Hospice care,Emergency,Medicine,3,9,5,4,Yes,Yes,24/7,0,0,0,0,0,0,1,0,Private,Dr. Bacary,General,1,3,76025192,Yes,Improved,Yes,Yes,Facility is equipped for menstrual hygiene management,yes,Yes,Existence of handwashing post/station(s):,2,Facility with water and soap,not,Water point exists,yes,Water located near healthcre premises,,Yes,Once a day,Other,,1955,b57adb0a-1cc6-4926-b35d-b5212f22e35d,2021-02-15T19:25:00,,237
2021-02-15T13:46:55.679Z,2021-02-15,collect:T2d0jw7SofpYizv1,,,,Aïssatou,Bamako,Commune VI,Dianéguéla,,,12.6184667 -7.9494483 345.0584660853137 2.333,12.6184667,-7.9494483,345.058466085314,2.333,Cabinet médical,Clinic,Clinic bed,All,Laboratory,Social care,6,4,2,2,No,Yes,24/7,0,0,0,0,0,0,1,0,Private,,General,2,2,75196070,Yes,Improved,Yes,No,Facility is equipped for menstrual hygiene management,no,No,Existence of handwashing post/station(s):,2,Facility with water and soap,yes,Water point exists,yes,Water located near healthcre premises,Existence of Management Committee including WASH issues,Yes,Once a day,Other,,2040,9a53d8ef-c995-4189-a25b-f956659369fb,2021-02-15T21:13:11,,240
2021-02-15T10:01:08.485Z,2021-02-15,358005081305960,8.92230205055341E+018,610025055341168,,Fatoumata CISSE,Bamako,Commune V,Gantiguibougou,,,12.559454999999998 -8.002276666666667 364.4 7.4,12.559455,-8.00227666666667,364.4,7.4,Clinique Ambaobou,Clinic,Clinic bed,All,Laboratory,Medicine,5,5,2,3,No,Yes,24/7,0,0,0,0,0,0,1,0,Private,Moussa Guindo,General,2,2,76304755,Yes,Improved,Yes,,Facility is equipped for menstrual hygiene management,yes,No,Existence of handwashing post/station(s):,,Facility with water and soap,,Water point exists,yes,Water located near healthcre premises,,,,Other,,2072,ff819a62-8394-409f-8121-e7f81387c697,2021-02-15T21:32:22,,244
2021-02-15T11:27:45.024Z,2021-02-15,358005081305960,8.92230205055341E+018,610025055341168,,Fatoumata CISSE,Bamako,Commune V,Gantiguibougou,,,12.568811666666667 -8.002061666666666 349.3 7.4,12.5688116666667,-8.00206166666667,349.3,7.4,Clinique de la Premiere plaque,Clinic,Clinic bed,All,Laboratory,Medicine,15,0,0,0,No,Yes,24/7,0,0,0,0,0,0,1,0,Private,,General,5,7,,Yes,Improved,Yes,,,,Yes,Existence of handwashing post/station(s):,,,,Water point exists,yes,Water located near healthcre premises,,Yes,Once a day,Other,,2073,58642fe2-7bc4-4f6b-a610-b52302416df2,2021-02-15T21:32:23,,245
2021-02-15T13:24:06.491Z,2021-02-15,358005081305960,8.92230205055341E+018,610025055341168,,Fatoumata CISSE,Bamako,Commune V,Baco - Djicoroni,,Fatoumata CISSE,12.575798333333333 -8.004621666666667 362.5 7.6,12.5757983333333,-8.00462166666667,362.5,7.6,Clinique Medicplus,Clinic,Clinic bed,All,Laboratory,Medicine,11,15,6,9,No,Yes,24/7,0,0,0,0,0,0,1,0,Private,Cheik Hamala Sissoko,General,5,10,78768796,Yes,Improved,Yes,,,,,Existence of handwashing post/station(s):,4,Facility with water and soap,yes,Water point exists,yes,Water located near healthcre premises,,Yes,Once a day,Other,,2074,9e5d786a-3709-4cf1-83d8-c2382a51d41f,2021-02-15T21:32:23,,246
2021-02-15T14:41:23.735Z,2021-02-15,358005081305960,8.92230205055341E+018,610025055341168,,Fatoumata CISSE,Bamako,Commune V,Baco - Djicoroni,,,12.578508333333332 -8.0004 354.6 7.7,12.5785083333333,-8.0004,354.6,7.7,Clinique Medical Saha Djike,Clinic,Clinic bed,All,Laboratory,Medicine,17,4,2,2,Yes,Yes,24/7,0,0,0,0,0,0,1,0,Private,Docteur Mama Mounkoro,General,1,2,79494270,Yes,Improved,Yes,,Facility is equipped for menstrual hygiene management,yes,Yes,Existence of handwashing post/station(s):,,Facility with water and soap,,Water point exists,yes,Water located near healthcre premises,,Yes,Once a day,Other,,2086,ebad1392-681c-447c-8080-a4b392cff12f,2021-02-15T21:36:05,,247
2021-02-15T15:12:23.604Z,2021-02-15,358005081305960,8.92230205055341E+018,610025055341168,,Fatoumata CISSE,Bamako,Commune V,Kalaban - Coura,,Djakarta Terrain,12.578361666666668 -7.99982 360.7 7.4,12.5783616666667,-7.99982,360.7,7.4,Clinique Medical le Sacerdoce,Clinic,,,,,,,,,,,,,,,,,,,,,Ils disent que le chef est sorti par consequent ils ne peuvent pas donner les infos,,,,,,,,,,,,,,,,,,,,,,,,2087,8c386fa0-91ed-4a09-accb-37bf5b281b70,2021-02-15T21:36:07,,248
2021-02-15T09:58:33.788Z,2021-02-15,358005080018564,8.92240102046798E+018,611012046797398,,Bangaly Diakite,Bamako,Commune II,Quinzambougou,,Quinzambougou,12.652344999999999 -7.987341666666667 348.6 5.8,12.652345,-7.98734166666667,348.6,5.8,Clinique privée,Clinic,Clinic bed,All,Imaging equipment,Martenal care,5,10,5,5,Yes,No,24/7,0,0,0,0,0,0,1,0,Private,Clinique Aldi,General,14,4,75249777,Yes,Improved,Yes,No,Facility is equipped for menstrual hygiene management,yes,,Existence of handwashing post/station(s):,4,Facility with water and soap,not,Water point exists,yes,Water located near healthcre premises,Existence of Management Committee including WASH issues,Yes,Once a day,Other,,2090,a6303e34-4c94-41e9-ac72-e79f3100fdd1,2021-02-15T22:27:32,,249
2021-02-15T12:57:22.490Z,2021-02-15,collect:SIM9EPAN7xmiLAou,,,,Thierno Hady Dembélé ,Bamako,Commune VI,Banankabougou - LMK,,,12.5918857 -7.9512748 374.61098368382335 3.9,12.5918857,-7.9512748,374.610983683823,3.9,Clinique médicale ,Clinic,First referral hospital,All,Imaging equipment,Surgery,6,8,2,6,Yes,Yes,24/7,0,0,0,0,0,0,1,0,Private,,General,6,4,76286745,Yes,Improved,Yes,No,Facility is not equipped for menstrual hygiene management,yes,No,Existence of handwashing post/station(s):,2,Facility with water and soap,yes,Water point exists,yes,Water located near healthcre premises,,Yes,Once a day,Other,,2132,aab67cef-0278-4bdd-9534-b4dd0de0f559,2021-02-16T07:21:38,,253
2021-02-16T10:17:17.609Z,2021-02-16,collect:BlCkwukss3l6umtT,,,,Abdoulaye Sissoko,Bamako,Commune II,Hippodrome,,,12.6680097 -7.9703475 372.4599938964844 3.9,12.6680097,-7.9703475,372.459993896484,3.9,"Cabinet
INE CHALAHOU",Clinic,Clinic bed,All,,Surgery,20,15,8,18,Yes,No,24/7,0,0,0,0,0,0,1,0,Private,Communauté,Community,3,6,75086794,Yes,Improved,Yes,Yes,Facility is equipped for menstrual hygiene management,yes,Yes,Existence of handwashing post/station(s):,5,Facility with water and soap,yes,Water point exists,yes,Water located near healthcre premises,Existence of Management Committee including WASH issues,Yes,Once a day,Manual Emptier,,2192,7c0d9793-3c6f-4297-b087-493fe013f9dc,2021-02-16T10:25:51,,255
2021-02-16T09:45:24.975Z,2021-02-16,collect:yz6GdNItMEBqLYb0,,,,Bilaly Dicko ,Bamako,Commune VI,Magnambougou,,Faso kanu ,12.614309435105259 -7.963470092083238 376.1502846945077 4.9,12.6143094351053,-7.96347009208324,376.150284694508,4.9,Bâtiment ,Clinic,Clinic bed,General acute care,Imaging equipment,Martenal care,2,4,2,2,Yes,Yes,Other 24/7,0,0,0,0,0,0,1,1,Private,Dr. Tembely,Community,1,5,66714462,Yes,Improved,Yes,Yes,,yes,Yes,Existence of handwashing post/station(s):,3,Facility with water and soap,yes,Water point exists,yes,Water located near healthcre premises,,Yes,Once a day,Manual Emptier,,2421,2d83e618-cc79-4358-bc60-4f1103e4a055,2021-02-16T15:48:37,,256
2021-02-16T10:06:01.400Z,2021-02-16,collect:yz6GdNItMEBqLYb0,,,,Bilaly Dicko ,Bamako,Commune VI,Magnambougou,,Faso kanu ,12.61686563813904 -7.964615214209057 366.15093434322625 4.9,12.616865638139,-7.96461521420906,366.150934343226,4.9,Bâtiment Clinique ogon,Clinic,Clinic bed,General acute care,,Martenal care,3,10,3,2,Yes,Yes,24/7,0,0,0,0,0,0,1,0,Private,Dr. Sekou oumar Togo ,Community,1,2,79406400,Yes,Improved,Yes,Yes,,yes,Yes,Existence of handwashing post/station(s):,2,Facility with water and soap,yes,Water point exists,yes,Water located near healthcre premises,,Yes,Once a day,Manual Emptier,,2423,17c47494-e5e7-4763-b668-d286255bca4b,2021-02-16T15:48:38,,258
2021-02-16T11:39:19.572Z,2021-02-16,collect:yz6GdNItMEBqLYb0,,,,Bilaly Dicko ,Bamako,Commune VI,Magnambougou,,Faso kanu ,12.611448297446481 -7.968895145181893 377.23416497185826 4.9,12.6114482974465,-7.96889514518189,377.234164971858,4.9,Bâtiment Clinique safari ,Clinic,Clinic bed,All,Imaging equipment,Martenal care,3,8,2,3,Yes,Yes,24/7,0,0,0,0,0,0,1,0,Private,Dr. Aboubacrine Maiga ,Community,2,4,79091440,Yes,Improved,Yes,Yes,Facility is equipped for menstrual hygiene management,yes,Yes,Existence of handwashing post/station(s):,3,Facility with water and soap,yes,Water point exists,yes,Water located near healthcre premises,,Yes,Once a day,Manual Emptier,,2436,efc56ca0-ed60-406a-a4db-78a481df88a9,2021-02-16T15:48:44,,260
2021-02-16T11:30:56.507Z,2021-02-16,collect:no6U5V4eMLGVKt3U,,,,Minata M Konaré,Bamako,Commune V,Daoudabougou,,,12.5923349 -7.9821483 366.56 2.066,12.5923349,-7.9821483,366.56,2.066,Cabinet Médical  Baraka,Clinic,,General acute care,Laboratory,Martenal care,5,2,,,No,Yes,24/7,0,0,0,0,0,0,1,0,Private,Amadoun Cissé,Women,1,2,70704214,Yes,Improved,Yes,No,Facility is not equipped for menstrual hygiene management,no,No,Existence of handwashing post/station(s):,,Facility with water and soap,yes,Water point exists,yes,Water located near healthcre premises,Existence of Management Committee including WASH issues,Yes,Once a day,Other,,2614,5286a8da-9d2c-4f7b-82c8-e4a13550afb0,2021-02-16T16:19:48,,265
2021-02-16T10:11:57.960Z,2021-02-16,collect:2I1Tdd4038qf3eqE,,,,Amadou Minta ,Bamako,Commune VI,Magnambougou,,,12.6094409 -7.9585445 381.8600183105469 3.9,12.6094409,-7.9585445,381.860018310547,3.9,Clinique de la cote,Clinic,Clinic bed,All,,,5,,,,No,Yes,24/7,0,0,0,0,0,0,1,0,Private,,,1,2,20204045,Yes,Improved,Yes,No,Facility is equipped for menstrual hygiene management,no,,Existence of handwashing post/station(s):,1,Facility with water and soap,yes,Water point exists,yes,,,Yes,Once a day,,,2728,853ce05d-6608-4f50-8b82-89cf017ef0bd,2021-02-16T16:34:08,,268
2021-02-16T10:44:33.558Z,2021-02-16,collect:2I1Tdd4038qf3eqE,,,,Amadou Minta ,Bamako,Commune VI,Magnambougou,,Projet ,12.6081935 -7.9541658 381.8600183105469 3.9,12.6081935,-7.9541658,381.860018310547,3.9,CABINET MÉDICAL LONGUE VIE,Clinic,Clinic bed,All,,,,,,,Yes,Yes,24/7,0,0,0,0,0,0,1,0,Private,,,2,3,68300370,Yes,Improved,Yes,Yes,,yes,Yes,Existence of handwashing post/station(s):,1,Facility with water and soap,yes,Water point exists,yes,Water located near healthcre premises,,Yes,Once a day,,,2730,8b68ad1e-1253-47a6-bd29-3842ac4fb07f,2021-02-16T16:34:09,,269
2021-02-16T12:04:31.866Z,2021-02-16,collect:2I1Tdd4038qf3eqE,,,,Amadou Minta ,Bamako,Commune VI,Sokorodji,,,12.6069271 -7.9507266 381.8600183105469 4.0,12.6069271,-7.9507266,381.860018310547,4,Clinique médicale AL HAMDOULAYE ,Clinic,Clinic bed,All,,,,,,,Yes,Yes,24/7,0,0,0,0,0,0,1,0,Private,,,2,3,61762963,Yes,Improved,Yes,Yes,,yes,Yes,Existence of handwashing post/station(s):,1,Facility with water and soap,yes,Water point exists,yes,Water located near healthcre premises,,Yes,,,,2738,a2fbcd68-6d8f-4edc-927f-46bf26a656f5,2021-02-16T16:34:14,,272
2021-02-16T09:56:22.959Z,2021-02-16,collect:rWmgRjTPVggkfceM,,,,Awa camara,Bamako,Commune IV,Lafiabougou,,Hamdalaye aci 2000,12.6231867 -8.0336782 344.82922576856214 1.4,12.6231867,-8.0336782,344.829225768562,1.4,Clinique seyna,Clinic,Clinic bed,General acute care,,Martenal care,,,,,Yes,Yes,24/7,0,0,0,0,0,0,1,0,Private,,,,,76111103,,,,,,,,,,,,,,,,,,,,2935,beb10f43-9ff1-48ed-805f-8a0c358c2312,2021-02-16T19:24:33,,280
2021-02-16T11:31:34.962Z,2021-02-16,collect:vZ1IuJDmO5Vr0btQ,,,,Daouda Sangaré,Bamako,Commune V,Daoudabougou,,,12.5972733 -7.9895133 364.4 3.24,12.5972733,-7.9895133,364.4,3.24,Cabinet médical national,Clinic,,All,Laboratory,Medicine,3,4,2,2,Yes,Yes,24/7,0,0,0,0,0,0,1,0,Private,Cabinet médical national,General,1,2,76077718,Yes,Improved,,,Facility is not equipped for menstrual hygiene management,yes,,Existence of handwashing post/station(s):,2,Facility with water and soap,yes,Water point exists,yes,Water located near healthcre premises,Existence of Management Committee including WASH issues,Yes,Once a day,Manual Emptier,,2965,63d17609-dca5-4a9a-a6a1-7556079cb6de,2021-02-16T19:25:04,,282
2021-02-16T12:31:37.835Z,2021-02-16,collect:vZ1IuJDmO5Vr0btQ,,,,Daouda Sangaré,Bamako,Commune V,Daoudabougou,,Daoudabougou,12.5966267 -7.98527 356.3 3.68,12.5966267,-7.98527,356.3,3.68,Cabinet médical,Clinic,,All,Laboratory,Medicine,6,5,2,3,Yes,Yes,24/7,0,0,0,0,0,0,1,0,Private,Cabinet médical Espoirs,General,1,5,79222239,Yes,Unimproved,Yes,Yes,Facility is not equipped for menstrual hygiene management,yes,No,Existence of handwashing post/station(s):,1,Facility with water and soap,not,Water point exists,yes,Water located near healthcre premises,Existence of Management Committee including WASH issues,Yes,Once a day,Manual Emptier,,2972,2b4890f5-5243-4df9-b8dd-17e1eaa0f0a7,2021-02-16T19:25:09,,283
2021-02-16T15:39:03.641Z,2021-02-16,collect:vZ1IuJDmO5Vr0btQ,,,,Daouda Sangaré,Bamako,Commune V,Daoudabougou,,Daoudabougou petit marché,12.601205 -7.9910283 371.1 3.18,12.601205,-7.9910283,371.1,3.18,Centre médical,Clinic,,All,Laboratory,Medicine,3,2,,2,Yes,Yes,24/7,0,0,0,0,0,0,1,0,Private,Oumar bakayoko,General,1,1,,Yes,Improved,Yes,Yes,Facility is not equipped for menstrual hygiene management,yes,No,Existence of handwashing post/station(s):,1,Facility with water and soap,yes,Water point exists,yes,Water located near healthcre premises,Existence of Management Committee including WASH issues,Yes,Once a day,Manual Emptier,,3007,313d5478-d098-43bd-8dae-5bf08ee1113a,2021-02-16T19:25:33,,285
