start,today,deviceid,simserial,subscriberid,"Welcome to the OCA Bamako Project. In this project, you will collect data about identified features and their respective attributes across Bamako District.",Name of data collector,City,Commune,Name of quartier,Name of sector,Name of sector,Geopoint of health facility,_Geopoint of health facility_latitude,_Geopoint of health facility_longitude,_Geopoint of health facility_altitude,_Geopoint of health facility_precision,Nature of the facility,Type of the facility,What is the nature of the heath facility,What is the scope of services provided by health facility?,What is the ancillary services provided by health facility?,What is the type of the services provided by the facility?,Number of beds in the health facility,"Average number of patients per day, disaggregated (total)","Average number of patients per day, disaggregated (male)","Average number of patients per day, disaggregated (female)",Does this medical facility offer emergency services?,Does this facility offer dispensing prescription medication? (in pharmacy),Opening days and times,Opening days and times/Mo-Fri 07:30-13:30,Opening days and times/Mo-Sa 07:30-15:00,Opening days and times/Mo-Fri 08:00-17:00,Opening days and times/Mo-Fri 09:00-17:00,Opening days and times/Mo-Su 07:00-20:00,Opening days and times/Mo-Fri 07:00-13:30,Opening days and times/24/7,Opening days and times/Other,What type of operator is this?,What is the name of the operator?,What is the health care specialty of this facility,What is the number of doctors?,What is the number of nurses?,Phone number of health facility,Does the facility have toilets?,Type of facility,Is the facility usable,Is the facility separated boys/girls,Is the facility equiped for menstrual hygiene management,Is facility separated for staff and non staff?,Is  the facility meet needs for limited mobility?,Is there existance of handwashing at the facility?,"If yes, How many","Does the facility has Station with basin, soap and water / OR with alcohol-based hand rub",Is the station within 5 meters of toilets,Is there existance of a water point?,Is the facility improved?,Is water located on school premises?,"WASH package management, O&M and financing",Is there a dedicated person for maintenance/cleaning facilities,Frequency of cleaning,Latrine Emptying,You are now at end of this form. Thank you for filling it out. Swipe to the next page/screen and save form.,_id,_uuid,_submission_time,_validation_status,_index
2021-02-15T10:08:00.462Z,2021-02-15,collect:37iYIf9mujLgP7FW,,,,ALOU SOW,Bamako,Commune IV,Hamdallaye,,Hamdallye ACI2000,12.621295 -8.0328667 364.3600183105469 3.9,12.621295,-8.0328667,364.3600183105469,3.9,CLINIQUE MAHAROUF,Clinic,Second referral_hospital,All,Emergency,Pediatric care,8,12,4,8,Yes,,24/7,0,0,0,0,0,0,1,0,Religious,,General,3,6,20290586,Yes,Improved,Yes,Yes,Facility is equipped for menstrual hygiene management,yes,Yes,Existence of handwashing post/station(s):,2,Facility with water and soap,yes,Water point exists,,,,Yes,Once a day,Other,,1844,3063d6f3-bdf0-4b66-bf19-8cc342363335,2021-02-15T19:07:13,,36
2021-02-15T11:42:52.556Z,2021-02-15,collect:37iYIf9mujLgP7FW,,,,ALOU SOW,Bamako,Commune IV,Djikoroni-Para,,30m,12.6149233 -8.0401183 364.3600183105469 3.4,12.6149233,-8.0401183,364.3600183105469,3.4,PHARMACIE OUAGADOU,Pharmacy,,,,Medicine,,,,,,Yes,Mo-Sa 07:30-15:00 Other,0,1,0,0,0,0,0,1,Private,OUAGADOU,,1,1,,Yes,Improved,Yes,No,Facility is not equipped for menstrual hygiene management,no,Yes,Existence of handwashing post/station(s):,2,Facility with water and soap,yes,Water point exists,,Water located near healthcre premises,,Yes,Once a day,,,1859,0bfcfc98-305d-4c00-a25c-d9a6936ac2fb,2021-02-15T19:07:21,,37
2021-02-16T10:27:27.586Z,2021-02-16,358005081402445,89223014190359921264,610010353517143,,Oumar haidara,Bamako,Commune II,Hippodrome,,,12.668688333333334 -7.969875 344.8 7.4,12.668688333333334,-7.969875,344.8,7.4,Clinique medical le miracle,Clinic,Clinic bed,General acute care,Emergency,Medicine,8,56,20,36,Yes,Yes,24/7,0,0,0,0,0,0,1,0,Private,Communité,Community,2,4,74191861,Yes,Improved,Yes,No,Facility is equipped for menstrual hygiene management,yes,Yes,Existence of handwashing post/station(s):,1,Facility with water and soap,yes,Water point exists,yes,Water located near healthcre premises,,Yes,Once a day,,,2210,12cfcd4e-ed75-4ddb-8b09-346fffc10303,2021-02-16T10:51:48,,38
2021-02-16T08:08:10.967Z,2021-02-16,collect:kZCwpco2LamgRepp,,,,Bakary Camara,Bamako,Commune IV,Lafiabougou,,Lafiabougou ,12.62277146081742 -8.043672297073298 363.7811269480269 12.0,12.62277146081742,-8.043672297073298,363.7811269480269,12.0,Cabinet médical Oscar,Clinic,Clinic bed,Specialized,Imaging equipment,Medicine,,,,,Yes,Yes,Other,0,0,0,0,0,0,0,1,Private,Cabinet Médical Oscar,General,,,,Yes,Improved,Yes,Yes,,yes,,Existence of handwashing post/station(s):,1,Facility with water and soap,,Water point exists,,,,No,,,,2404,ae89fb15-b78f-4640-9b95-3f41038a0d34,2021-02-16T15:43:33,,39
2021-02-16T08:12:08.909Z,2021-02-16,collect:kZCwpco2LamgRepp,,,,Bakary Camara,Bamako,Commune IV,Lafiabougou,,,12.62441635846635 -8.042630931134216 360.2195665849444 4.0,12.62441635846635,-8.042630931134216,360.2195665849444,4.0,Pharmacie Dereme,Pharmacy,,,,Medicine,,,,,No,Yes,Other 24/7,0,0,0,0,0,0,1,1,Private,Pharmacie ,,,,,Yes,Improved,Yes,,,yes,No,No handwashing,,,,No existence of water point,,,,No,,,,2405,26511032-76e7-4e30-b381-147b50b20858,2021-02-16T15:43:34,,40
2021-02-16T08:46:53.605Z,2021-02-16,3b5bbe021a1812db,,,,Aminata Diawara,Bamako,Commune IV,Hamdallaye,,,12.6406762143597 -8.028074707835913 379.0 2.5,12.6406762143597,-8.028074707835913,379.0,2.5,PHarmacie furaso,Pharmacy,,,,Medicine,,,,,No,Yes,Other,0,0,0,0,0,0,0,1,Private,Farimahci faraso,,,,2290787,Yes,Improved,Yes,No,Facility is equipped for menstrual hygiene management,no,,Existence of handwashing post/station(s):,2,Facility with water and soap,yes,Water point exists,,Water located near healthcre premises,Existence of Management Committee including WASH issues,Yes,Once a day,Other,,2458,4c39406d-e29c-4577-b09f-6c5b62bd3582,2021-02-16T16:06:27,,41
2021-02-16T08:49:15.357Z,2021-02-16,collect:doqJGB7PZxYJ95Vo,,,,Ibrahima BABY,Bamako,Commune IV,Lafiabougou,,Hamdallaye ACI,12.6330325 -8.0204167 379.25488667753484 9.5,12.6330325,-8.0204167,379.25488667753484,9.5,Clinique Pasteur,Hospital,Tertiary hospital,All,Operating theater,Surgery,57,50,10,40,Yes,Yes,24/7,0,0,0,0,0,0,1,0,Private,Dr Ben Baba,,30,27,20291010,Yes,Improved,Yes,Yes,Facility is equipped for menstrual hygiene management,yes,No,Existence of handwashing post/station(s):,30,Facility with water and soap,,Water point exists,,Water located near healthcre premises,Existence of Management Committee including WASH issues,Yes,Once a day,,,2633,b24cc9f0-56a9-4aa0-a935-412f9702f62e,2021-02-16T16:23:56,,42
2021-02-10T14:24:54.584Z,2021-02-10,collect:HT5m96BSOrMwBzMD,,,,Seydou KONE,Bamako,Commune VI,Missabougou,,Missabougou zerny,12.6225383 -7.9115836 357.0578820832736 4.875,12.6225383,-7.9115836,357.0578820832736,4.875,Cabinet medical,Dental,Clinic bed,Hospice care,Intensive care unit,Medicine,7,4,1,3,No,Yes,24/7,0,0,0,0,0,0,1,0,Private,"Dr Alamako Camara
",General,3,3,66062642,Yes,Improved,Yes,Yes,Facility is not equipped for menstrual hygiene management,yes,Yes,Existence of handwashing post/station(s):,1,Facility with water and soap,not,Water point exists,yes,Water located near healthcre premises,Existence of Management Committee including WASH issues,Yes,Once a day,Other,,3036,b6f71c49-cda4-4353-968b-2e9f3595abfe,2021-02-16T19:49:41,,43
2021-02-17T10:02:00.111Z,2021-02-17,collect:uun31ChzwngFIAAC,,,,Landouré Tata,Bamako,Commune II,Missira,,,12.6552199 -7.9870035 329.2775648941557 3.2,12.6552199,-7.9870035,329.2775648941557,3.2,,Pharmacy,,,,,,,,,No,No,Other,0,0,0,0,0,0,0,1,Private,,General,3,,,Yes,Improved,Yes,Yes,Facility is equipped for menstrual hygiene management,no,No,Existence of handwashing post/station(s):,,Facility with water and soap,yes,Water point exists,not,Water available when needed,Financial support by NGO or other partners for: maintenance / major repairs / construction of new facilities,Yes,At least once a week,Other,,3343,5a3575cb-9a59-47dc-8935-adf9b813ef20,2021-02-17T13:14:52,,44
2021-02-17T09:34:23.364Z,2021-02-17,collect:HT5m96BSOrMwBzMD,,,,Seydou KONE,Bamako,Commune VI,Niamakoro,,Ancien marché,12.5802177 -7.9721995 351.00736890675546 2.44,12.5802177,-7.9721995,351.00736890675546,2.44,Centre de Santé,Community health center,Clinic bed,Specialized,Intensive care unit,Medicine,8,10,4,6,Yes,Yes,24/7,0,0,0,0,0,0,1,0,Community,Communauté,General,3,6,,No,,,,,,,,,,,,,,,,,,,3832,6f471388-d14a-42fd-8dc1-ed7790b555ec,2021-02-17T19:17:55,,45
2021-02-17T09:56:05.417Z,2021-02-17,collect:QOf66u8HZdPThTnO,,,,Agaichatou Abacar Maiga ,Bamako,Commune II,Médina Coura,,,12.6551013 -7.9870288 354.1600061035156 4.0,12.6551013,-7.9870288,354.1600061035156,4.0,,Pharmacy,,,,,,,,,No,,24/7,0,0,0,0,0,0,1,0,,,,,,,Yes,Improved,Yes,,,,,,,,,,,,,,,,,3915,a0f04b8a-7f62-4d23-962f-07021f6516df,2021-02-17T20:05:37,,46
2021-02-17T10:22:03.225Z,2021-02-17,collect:QOf66u8HZdPThTnO,,,,Agaichatou Abacar Maiga ,Bamako,Commune II,Missira,,,12.6551409 -7.9870367 354.1600061035156 4.0,12.6551409,-7.9870367,354.1600061035156,4.0,,Pharmacy,,,,,,,,,,No,24/7,0,0,0,0,0,0,1,0,Private,Badji soussoko ,,,,,Yes,Improved,Yes,,Facility is not equipped for menstrual hygiene management,yes,,Existence of handwashing post/station(s):,3,Facility with water and soap,yes,Water point exists,,,,Yes,Once a day,,,3924,d4b55cda-bcf2-4a89-bef1-70d0bc41ca61,2021-02-17T20:05:41,,47
