start,end,today,deviceid,phonenumber,This is a form used to map Telecommunication Facilities. Please fill this form while at the Telecommunication Facility location.,Name of data collector,City,Commune,Name of quartier,Name of sector,Name of sector,Please take a GPS point at this Telecommunication Facility.,_Please take a GPS point at this Telecommunication Facility._latitude,_Please take a GPS point at this Telecommunication Facility._longitude,_Please take a GPS point at this Telecommunication Facility._altitude,_Please take a GPS point at this Telecommunication Facility._precision,Man Made,Telecom,Communication,Who is operator of the facility,You are now at end of this form. Thank you for filling it out. Swipe to the next page/screen and save form.,_id,_uuid,_submission_time,_validation_status,_index
2021-02-15T10:39:41.584Z,2021-02-15T10:41:07.649Z,2021-02-15,collect:YOr78JsZpLkhP6SJ,,,Mahamady Camara ,Bamako,Commune IV,Sébéninkoro,,Dramanebougou ,12.6181029 -8.0479699 360.06 4.8,12.6181029,-8.0479699,360.06,4.8,Antenna,Distribution Point,Mobile Phone,Orange Mali ,,1520,fc12da8c-141a-4eea-b63c-173e91370334,2021-02-15T16:40:45,,64
2021-02-15T10:50:23.465Z,2021-02-15T10:53:34.859Z,2021-02-15,collect:YOr78JsZpLkhP6SJ,,,Mahamady Camara ,Bamako,Commune IV,Sébéninkoro,,Dramanebougou ,12.6128059 -8.0488576 360.06 3.9,12.6128059,-8.0488576,360.06,3.9,Antenna,Distribution Point,Mobile Phone,Moov africa,,1521,39bd0178-fc50-4c46-997c-e1904662173b,2021-02-15T16:40:45,,65
2021-02-15T11:42:49.509Z,2021-02-15T11:43:47.314Z,2021-02-15,collect:YOr78JsZpLkhP6SJ,,,Mahamady Camara ,Bamako,Commune IV,Sébéninkoro,,Dramanebougou ,12.6115762 -8.0533866 366.68171120043957 7.5,12.6115762,-8.0533866,366.68171120043957,7.5,Antenna,Distribution Point,Mobile Phone,Moov Africa ,,1524,6d81fdeb-75ac-44a0-8182-ae055713e619,2021-02-15T16:40:47,,66
2021-02-15T12:02:38.306Z,2021-02-15T12:03:56.838Z,2021-02-15,collect:YOr78JsZpLkhP6SJ,,,Mahamady Camara ,Bamako,Commune IV,Sébéninkoro,,Hampatebât,12.6066798 -8.0509365 363.6675176566382 4.666,12.6066798,-8.0509365,363.6675176566382,4.666,Antenna,Distribution Point,Mobile Phone,Telecel,,1525,12bff991-39f5-441f-83f6-b8f9b49015d7,2021-02-15T16:40:47,,67
2021-02-15T12:09:30.373Z,2021-02-15T12:10:25.461Z,2021-02-15,collect:YOr78JsZpLkhP6SJ,,,Mahamady Camara ,Bamako,Commune IV,Sébéninkoro,,C7,12.6012695 -8.0540318 364.1547200191058 4.8,12.6012695,-8.0540318,364.1547200191058,4.8,Antenna,Distribution Point,Mobile Phone,Orange mali ,,1526,3ea885d7-77ab-4d41-9e41-f3e72180a1f4,2021-02-15T16:40:48,,68
2021-02-15T12:30:19.173Z,2021-02-15T12:31:40.011Z,2021-02-15,collect:YOr78JsZpLkhP6SJ,,,Mahamady Camara ,Bamako,Commune IV,Sébéninkoro,,Sebenikoro ,12.5992861 -8.0535531 362.45421851103595 5.0,12.5992861,-8.0535531,362.45421851103595,5.0,Antenna,Distribution Point,Mobile Phone,Moov africa ,,1528,57b2e2ed-eb53-4c60-8b23-cd94dceca747,2021-02-15T16:40:49,,69
2021-02-15T12:52:11.070Z,2021-02-15T12:53:09.691Z,2021-02-15,collect:YOr78JsZpLkhP6SJ,,,Mahamady Camara ,Bamako,Commune IV,Sébéninkoro,,Sebenikoro ,12.5931467 -8.0611412 361.35528505919734 4.333,12.5931467,-8.0611412,361.35528505919734,4.333,Antenna,Distribution Point,Mobile Phone,Moov africa ,,1529,8948c244-b190-41c6-a2ff-d121d2e20664,2021-02-15T16:40:49,,70
2021-02-15T16:17:53.981Z,2021-02-15T16:20:11.972Z,2021-02-15,collect:YOr78JsZpLkhP6SJ,,,Mahamady Camara ,Bamako,Commune IV,Sébéninkoro,,Sebenikoro ,12.5845755 -8.0663027 363.9187459310812 4.3,12.5845755,-8.0663027,363.9187459310812,4.3,Antenna,Distribution Point,Mobile Phone,Orange mali ,,1535,345a8f37-1e74-481a-93d2-cadbc4326e1a,2021-02-15T16:40:52,,71
2021-02-15T10:21:06.078Z,2021-02-15T10:23:35.986Z,2021-02-15,collect:kFxmuiAqpWtDo2cV,,,Kousseni Sogoba ,Bamako,Commune III,Sokonafing,,,12.6686976 -8.0140288 422.5872159952806 4.966,12.6686976,-8.0140288,422.5872159952806,4.966,Antenna,Distribution Point,Mobile Phone,Malitel ,,1556,47038a33-e290-4afc-b2ae-101fe72ad38e,2021-02-15T16:45:29,,72
2021-02-15T10:24:55.695Z,2021-02-15T10:27:56.319Z,2021-02-15,collect:kFxmuiAqpWtDo2cV,,,Kousseni Sogoba ,Bamako,Commune III,Sokonafing,,,12.6709874 -8.0134279 425.9589725186081 4.02,12.6709874,-8.0134279,425.9589725186081,4.02,Antenna,Connection Point,Mobile Phone,Orange ,,1557,b16a21c7-c7be-4f75-8c67-10cb45b3e50a,2021-02-15T16:45:29,,73
2021-02-15T13:19:50.157Z,2021-02-15T13:21:25.645Z,2021-02-15,collect:MISsMtgfFQthUhqA,,,Ramatou Sogoba ,Bamako,Commune V,Kalaban - Coura,,,12.5654322 -7.9994109 373.17393441237465 3.9,12.5654322,-7.9994109,373.17393441237465,3.9,Antenna,Distribution Point,Mobile Phone,Malitel ,,1593,cad0b73c-ca91-49d7-80eb-e8b45b16ad29,2021-02-15T16:47:28,,74
2021-02-15T14:33:27.483Z,2021-02-15T16:47:16.045Z,2021-02-15,collect:FHdsKPpeR8jLHo9P,,,Salimata Traoré,Bamako,Commune III,Koulouba,,Secteur sekoubougouni,12.6825021 -8.0042346 537.5919139983326 5.533,12.6825021,-8.0042346,537.5919139983326,5.533,Communication Tower,Distribution Point,Mobile Phone,Malitel,,1619,f2b31513-2b1a-4867-9896-8b1d3f4089ad,2021-02-15T16:50:20,,75
2021-02-15T14:36:24.914Z,2021-02-15T16:48:19.600Z,2021-02-15,collect:FHdsKPpeR8jLHo9P,,,Salimata,Bamako,Commune III,Koulouba,,Secteur sekoubougouni ,12.6830276 -8.0041603 538.7430929087495 4.966,12.6830276,-8.0041603,538.7430929087495,4.966,Communication Tower,Distribution Point,Mobile Phone,Telecel ,,1620,8b18bbb7-77d0-4e93-a2a4-16a76fb88276,2021-02-15T16:50:22,,76
2021-02-15T11:21:24.578Z,2021-02-15T11:25:05.182Z,2021-02-15,collect:8htkpzfiqj8dFVDp,,,Habibatou sanogo,Bamako,Commune III,Sokonafing,,,12.6730944 -8.0134026 445.8600183105469 2.033,12.6730944,-8.0134026,445.8600183105469,2.033,Antenna,Distribution Point,Mobile Phone,Orange,,1801,c09c3ba7-d22d-401f-ac88-3a853e2c7af5,2021-02-15T18:41:07,,77
2021-02-15T13:43:19.371Z,2021-02-15T13:45:59.178Z,2021-02-15,collect:HT5m96BSOrMwBzMD,,,Seydou KONE,Bamako,Commune VI,Faladié,,Socoura,12.5908333 -7.9505067 377.9706329868318 2.62,12.5908333,-7.9505067,377.9706329868318,2.62,Antenna,Connection Point,,Malitel,,1921,6db6b527-733a-47be-a767-2f3cd912448f,2021-02-15T19:15:20,,78
2021-02-15T13:18:57.329Z,2021-02-15T13:20:00.526Z,2021-02-15,collect:SIM9EPAN7xmiLAou,,,Thierno Hady Dembélé ,Bamako,Commune VI,Banankabougou - LMK,,,12.596602 -7.9517185 363.31708652905644 3.53,12.596602,-7.9517185,363.31708652905644,3.53,Antenna,Distribution Point,Mobile Phone,OrangeMali,,2134,ae0bf0ef-3949-4f42-b505-27d2b1d4b4c2,2021-02-16T07:21:40,,79
2021-02-15T13:47:59.158Z,2021-02-15T13:48:45.777Z,2021-02-15,collect:SIM9EPAN7xmiLAou,,,Thierno Hady Dembélé ,Bamako,Commune VI,Banankabougou - LMK,,,12.5905887 -7.9492373 359.8141072669722 3.9,12.5905887,-7.9492373,359.8141072669722,3.9,Antenna,Distribution Point,Mobile Phone,OrangeMali,,2138,baaf6c3f-0957-42ae-8bc4-edb07d61f2f0,2021-02-16T07:21:42,,80
2021-02-15T14:00:11.544Z,2021-02-15T14:00:51.402Z,2021-02-15,collect:SIM9EPAN7xmiLAou,,,Thierno Hady Dembélé ,Bamako,Commune VI,Banankabougou - LMK,,,12.590915 -7.9505493 356.9099180662916 4.454,12.590915,-7.9505493,356.9099180662916,4.454,Antenna,Connection Point,Mobile Phone,OrangeMali ,,2139,49d25c84-38a7-429a-a1dc-9b57f8872f90,2021-02-16T07:21:42,,81
2021-02-16T09:49:44.557Z,2021-02-16T09:50:15.199Z,2021-02-16,collect:rpvpthByLQPVYLdY,,,Kassim TRAORE ,Bamako,Commune III,Kodabougou,,,12.6483033 -8.0196333 352.12339930966345 3.9,12.6483033,-8.0196333,352.12339930966345,3.9,Antenna,Exchange,Mobile Phone,Orange ,,2198,1150aff3-a1a4-4ad0-8d77-1da7018019f8,2021-02-16T10:30:14,,82
2021-02-16T09:46:35.843Z,2021-02-16T09:48:11.329Z,2021-02-16,collect:lZR1popJYsyYC4Jc,,,Souleymane N'diaye,Bamako,Commune III,Kodabougou,,,12.6483145 -8.0195567 368.53596017216825 3.7,12.6483145,-8.0195567,368.53596017216825,3.7,Antenna,Exchange,Radio,Radio Tabale,,2216,016db599-2998-4b32-b753-0c406235e149,2021-02-16T10:56:12,,83
2021-02-16T09:59:17.520Z,2021-02-16T10:01:02.035Z,2021-02-16,collect:lZR1popJYsyYC4Jc,,,Souleymane N'diaye,Bamako,Commune III,Kodabougou,,,12.6506304 -8.0216123 374.06 3.6,12.6506304,-8.0216123,374.06,3.6,Antenna,Exchange,Mobile Phone,Malitel,,2220,458f5528-03fe-44ff-8b61-36ca61e6b556,2021-02-16T10:56:16,,84
2021-02-16T09:19:47.678Z,2021-02-16T09:59:33.669Z,2021-02-16,358005081423789,,,Konaté  Baoumou,Bamako,Commune I,Doumanzana,,Doumanzana petit Paris,12.682123333333333 -7.9400216666666665 321.5 7.6,12.682123333333333,-7.9400216666666665,321.5,7.6,Antenna,Connection Point,Mobile Phone,Orange  Mali,,2351,851db318-6175-46f2-b1f1-e27aa5c44901,2021-02-16T15:40:41,,85
2021-02-16T14:20:14.681Z,2021-02-16T14:22:09.339Z,2021-02-16,358005081423789,,,Konaté  Baoumou,Bamako,Commune I,Djélibougou,,Djelibougou,12.675231666666665 -7.942511666666666 392.7 7.5,12.675231666666665,-7.942511666666666,392.7,7.5,Antenna,Connection Point,Mobile Phone,Orange Mali ,,2392,0f6d5a01-41ac-40f3-bfcf-6811291cf11b,2021-02-16T15:41:36,,86
2021-02-16T14:59:53.066Z,2021-02-16T15:02:03.121Z,2021-02-16,358005081423789,,,Konaté Baoumou,Bamako,Commune I,Djélibougou,,Djelibougou,12.675478333333334 -7.943181666666668 408.0 7.8,12.675478333333334,-7.943181666666668,408.0,7.8,Antenna,Connection Point,Mobile Phone,Malitel,,2402,90d0ec0f-d629-424d-bd23-b461a689117f,2021-02-16T15:41:53,,87
2021-02-16T15:12:20.576Z,2021-02-16T15:14:35.368Z,2021-02-16,358005081423789,,,Konaté Baoumou,Bamako,Commune I,Doumanzana,,Djoumanzana,12.679326666666668 -7.946173333333333 346.1 8.4,12.679326666666668,-7.946173333333333,346.1,8.4,Antenna,Connection Point,Mobile Phone,Orange Mali ,,2403,b6605e8a-0ab6-4665-a3b0-60c9a6373159,2021-02-16T15:41:54,,88
2021-02-16T08:31:21.686Z,2021-02-16T08:36:49.699Z,2021-02-16,collect:kZCwpco2LamgRepp,,,Bakary Camara,Bamako,Commune IV,Lafiabougou,,Lafiabougou ,12.639209909372466 -8.033610272675595 369.75979321786133 12.0,12.639209909372466,-8.033610272675595,369.75979321786133,12.0,Antenna,Distribution Point,,Agence Commerciale de Lafiabougou réseau Malitel ,,2407,f0bf791a-e334-4927-b668-a9e228b4b26c,2021-02-16T15:43:36,,89
2021-02-16T11:36:17.460Z,2021-02-16T11:37:19.671Z,2021-02-16,collect:kZCwpco2LamgRepp,,,Bakary Camara,Bamako,Commune IV,Lafiabougou,,,12.617342386714247 -8.04762838133416 364.15597915905477 4.0,12.617342386714247,-8.04762838133416,364.15597915905477,4.0,Antenna,Distribution Point,,Malitel,,2415,d648ea99-0867-43b7-b347-b89f997ec51e,2021-02-16T15:43:45,,90
2021-02-16T11:54:19.044Z,2021-02-16T11:55:14.074Z,2021-02-16,collect:kZCwpco2LamgRepp,,,Bakary Camara,Bamako,Commune IV,Lafiabougou,,,12.626458028992644 -8.043082929772565 366.806556791894 8.0,12.626458028992644,-8.043082929772565,366.806556791894,8.0,Antenna,Distribution Point,,,,2416,a9f96100-c8c0-4b5f-b866-772d6dfbee19,2021-02-16T15:43:45,,91
2021-02-16T12:02:06.741Z,2021-02-16T12:03:22.983Z,2021-02-16,collect:kZCwpco2LamgRepp,,,Bakary Camara,Bamako,Commune IV,Lafiabougou,,,12.627396573469634 -8.041596168675026 368.2895171895865 4.0,12.627396573469634,-8.041596168675026,368.2895171895865,4.0,Antenna,Distribution Point,,Orange ,,2417,db5bccc9-64be-498d-9353-fe3dedf81685,2021-02-16T15:43:47,,92
2021-02-16T11:28:56.626Z,2021-02-16T15:57:32.598Z,2021-02-16,3b5bbe021a1812db,,,Aminata Diawara,Bamako,Commune IV,Sébéninkoro,,Séninkoro 7,12.617979990318418 -8.047954821959138 361.0 3.0,12.617979990318418,-8.047954821959138,361.0,3.0,Antenna,Distribution Point,,Orange Mali,,2468,e299180c-f3e0-4227-835f-c92c08f0d8c5,2021-02-16T16:06:33,,93
2021-02-16T11:46:45.165Z,2021-02-16T16:02:54.704Z,2021-02-16,3b5bbe021a1812db,,,Aminata Diawara,Bamako,Commune IV,Sébéninkoro,,Sebemikor 7,12.619883604347706 -8.044113731011748 363.0 3.0,12.619883604347706,-8.044113731011748,363.0,3.0,Antenna,,,Malite info,,2469,4b17a496-89e1-463c-898f-2c8a65cfbc53,2021-02-16T16:06:33,,94
2021-02-16T11:51:05.887Z,2021-02-16T11:52:25.798Z,2021-02-16,3b5bbe021a1812db,,,Aminata Diawara,Bamako,Commune IV,Sébéninkoro,,Sebemikoro7,12.62504124082625 -8.043431527912617 367.0 2.0,12.62504124082625,-8.043431527912617,367.0,2.0,Antenna,,,Orange.mali,,2470,8397c8eb-0347-42fc-a509-d7a846819382,2021-02-16T16:06:33,,95
2021-02-16T11:57:09.224Z,2021-02-16T12:02:59.836Z,2021-02-16,3b5bbe021a1812db,,,Aminata Diawara,Bamako,Commune IV,Sébéninkoro,,Sebemikoro 7,12.627211944200099 -8.044393686577678 369.0 2.0,12.627211944200099,-8.044393686577678,369.0,2.0,Antenna,,,Orange Mali,,2471,105204f9-baee-4b78-b6ae-5b8875591b5a,2021-02-16T16:06:34,,96
2021-02-16T12:03:14.238Z,2021-02-16T13:02:02.549Z,2021-02-16,3b5bbe021a1812db,,,Aminata Diawara,Bamako,Commune IV,Lafiabougou,,Lafiabougou,12.636063024401665 -8.041381146758795 376.0 3.5,12.636063024401665,-8.041381146758795,376.0,3.5,Antenna,,,Orange Mali ,,2472,89b5627f-eb09-4bd4-9888-1ebf404506eb,2021-02-16T16:06:34,,97
2021-02-16T14:55:00.974Z,2021-02-16T14:56:33.645Z,2021-02-16,3b5bbe021a1812db,,,Aminata Diawara ,Bamako,Commune IV,Lafiabougou,,,12.642901483923197 -8.040425023064017 380.0 2.0,12.642901483923197,-8.040425023064017,380.0,2.0,Antenna,,,Telecel,,2476,791a43bf-850f-4990-88c6-de066e0c02ee,2021-02-16T16:06:36,,98
2021-02-16T11:05:06.362Z,2021-02-16T16:15:29.564Z,2021-02-16,collect:37iYIf9mujLgP7FW,,,ALOU SOW,Bamako,Commune IV,Djikoroni-Para,,ACI2000,12.6215667 -8.035415 364.06 3.9,12.6215667,-8.035415,364.06,3.9,Communication Tower,Distribution Point,Mobile Phone,Orange Mali,,2623,8ddfce36-76db-4ae2-89f6-d265da44ffc6,2021-02-16T16:19:54,,99
2021-02-16T08:41:09.944Z,2021-02-16T08:42:25.855Z,2021-02-16,collect:doqJGB7PZxYJ95Vo,,,Ibrahima BABY ,Bamako,Commune IV,Lafiabougou,,Hamdallaye ACI ,12.6321395 -8.0260626 360.47296438429066 21.666,12.6321395,-8.0260626,360.47296438429066,21.666,Antenna,Distribution Point,Mobile Phone,Télécel,,2631,53679267-7f5c-4969-9d31-bebad2faa458,2021-02-16T16:23:54,,100
2021-02-16T08:45:53.468Z,2021-02-16T08:46:50.424Z,2021-02-16,collect:doqJGB7PZxYJ95Vo,,,Ibrahima BABY ,Bamako,Commune IV,Lafiabougou,,Hamdallaye ACI ,12.6315326 -8.0223149 374.5028381482794 7.833,12.6315326,-8.0223149,374.5028381482794,7.833,Antenna,Distribution Point,Mobile Phone,Malitel ,,2632,2f8e4db7-2f7b-446c-a13a-97ee5172b73f,2021-02-16T16:23:55,,101
2021-02-16T09:08:49.244Z,2021-02-16T09:09:48.882Z,2021-02-16,collect:doqJGB7PZxYJ95Vo,,,Ibrahima BABY ,Bamako,Commune IV,Lafiabougou,,Hamdallaye ACI ,12.6334747 -8.0238257 362.2737977124754 8.0,12.6334747,-8.0238257,362.2737977124754,8.0,Antenna,Distribution Point,Mobile Phone,Orange Mali,,2634,942027cf-fd35-4dba-b538-4a028faa269a,2021-02-16T16:23:56,,102
2021-02-16T09:11:54.680Z,2021-02-16T09:12:45.958Z,2021-02-16,collect:doqJGB7PZxYJ95Vo,,,Ibrahima BABY ,Bamako,Commune IV,Lafiabougou,,Hamdallaye ACI ,12.6300191 -8.0274297 374.62880802609044 6.609,12.6300191,-8.0274297,374.62880802609044,6.609,Antenna,Distribution Point,Mobile Phone,Malitel ,,2635,5e1123f8-9cc9-4e5c-b57a-bf57672c9f9b,2021-02-16T16:23:57,,103
2021-02-16T09:13:01.763Z,2021-02-16T09:13:41.012Z,2021-02-16,collect:doqJGB7PZxYJ95Vo,,,Ibrahima BABY ,Bamako,Commune IV,Lafiabougou,,Hamdallaye ACI ,12.6302125 -8.0272164 376.1567584431883 5.0,12.6302125,-8.0272164,376.1567584431883,5.0,Antenna,Distribution Point,Mobile Phone,Orange Mali ,,2636,defb711b-1cff-4d55-9219-f587d4443932,2021-02-16T16:23:57,,104
2021-02-16T14:20:09.298Z,2021-02-16T14:21:07.455Z,2021-02-16,collect:doqJGB7PZxYJ95Vo,,,Ibrahima BABY ,Bamako,Commune IV,Lafiabougou,,Lafiabougou Taliko ,12.629872 -8.0514922 377.98906031583255 4.857,12.629872,-8.0514922,377.98906031583255,4.857,Antenna,Distribution Point,Mobile Phone,Malitel ,,2647,185fb0f6-91d9-4124-a3e7-aa66219a826d,2021-02-16T16:24:03,,105
2021-02-16T14:21:48.876Z,2021-02-16T14:23:13.336Z,2021-02-16,collect:doqJGB7PZxYJ95Vo,,,Ibrahima BABY ,Bamako,Commune IV,Lafiabougou,,Lafiabougou Taliko ,12.6302846 -8.0514731 381.0966740085505 4.4,12.6302846,-8.0514731,381.0966740085505,4.4,Antenna,Distribution Point,Mobile Phone,Telecel ,,2648,f85ffa87-7fe4-4463-8ba4-3819e8f1049c,2021-02-16T16:24:04,,106
2021-02-16T14:38:22.978Z,2021-02-16T14:40:51.794Z,2021-02-16,collect:doqJGB7PZxYJ95Vo,,,Ibrahima BABY ,Bamako,Commune IV,Lafiabougou,,Lafiabougou ,12.6348925 -8.0444335 399.2739447747633 18.25,12.6348925,-8.0444335,399.2739447747633,18.25,Antenna,Distribution Point,Mobile Phone,Telecel ,,2650,12aaebd3-3e33-46b8-8ff6-993b4e9a2ce3,2021-02-16T16:24:05,,107
2021-02-16T11:05:17.996Z,2021-02-16T11:06:25.331Z,2021-02-16,collect:KvfuVGFOmCFXRwJk,,,Fatoumata Kayentao ,Bamako,Commune IV,Hamdallaye,,ACI2000 ,12.6215733 -8.03518 365.6600061035156 1.566,12.6215733,-8.03518,365.6600061035156,1.566,Antenna,Distribution Point,Mobile Phone,Malitel ,,2664,7f618e73-eee7-44ee-9271-48a347b2336d,2021-02-16T16:27:52,,108
2021-02-16T10:12:36.527Z,2021-02-16T10:13:35.445Z,2021-02-16,collect:kFxmuiAqpWtDo2cV,,,Kousseni Sogoba ,Bamako,Commune III,Point G,,,12.6718567 -7.9950167 522.1805594624425 3.9,12.6718567,-7.9950167,522.1805594624425,3.9,Antenna,Distribution Point,Mobile Phone,Malitel ,,2792,35e52e23-b97d-4366-85a6-96f92b19aec9,2021-02-16T17:13:06,,109
2021-02-16T10:39:26.373Z,2021-02-16T10:40:35.054Z,2021-02-16,collect:kFxmuiAqpWtDo2cV,,,Kousseni Sogoba ,Bamako,Commune III,Point G,,,12.6653383 -7.99129 533.259951171875 3.9,12.6653383,-7.99129,533.259951171875,3.9,Telescope,Connection Point,Television,Malvision,,2795,741717d7-4a6c-48e2-9dd9-09626d63652e,2021-02-16T17:13:07,,110
2021-02-16T10:46:35.497Z,2021-02-16T10:47:31.621Z,2021-02-16,collect:kFxmuiAqpWtDo2cV,,,Kousseni Sogoba ,Bamako,Commune III,Point G,,,12.6704683 -7.9924833 533.259951171875 3.9,12.6704683,-7.9924833,533.259951171875,3.9,Antenna,Connection Point,Mobile Phone,Telecel ,,2796,e5cbc7de-a8f8-4ed5-96e3-0783376c1e9f,2021-02-16T17:13:08,,111
2021-02-16T10:48:54.940Z,2021-02-16T10:49:43.367Z,2021-02-16,collect:kFxmuiAqpWtDo2cV,,,Kousseni Sogoba ,Bamako,Commune III,Point G,,,12.6710317 -7.99286 533.259951171875 3.9,12.6710317,-7.99286,533.259951171875,3.9,Antenna,Distribution Point,Mobile Phone,Orange ,,2797,4df7d49f-449e-4e42-a1fa-92c84151f3ac,2021-02-16T17:13:09,,112
2021-02-16T13:00:24.918Z,2021-02-16T17:51:37.800Z,2021-02-16,collect:liME4UnjomJWBTaV,,,Kodio Moussa,Bamako,Commune V,Daoudabougou,,,12.5900652 -7.9800371 327.7784795421575 3.08,12.5900652,-7.9800371,327.7784795421575,3.08,Antenna,Service Device,Mobile Phone,Malitel,,2853,d8981988-0bdb-468f-aec4-81a9adc5a440,2021-02-16T17:58:55,,113
2021-02-16T13:50:01.568Z,2021-02-16T17:52:47.089Z,2021-02-16,collect:liME4UnjomJWBTaV,,,Kodio Moussa,Bamako,Commune V,Daoudabougou,,,12.5897117 -7.9784467 310.9693245891013 3.483,12.5897117,-7.9784467,310.9693245891013,3.483,Antenna,Service Device,Mobile Phone,Orange mali.,,2854,6dc0d1dc-a330-49b0-b9f0-e9bf95973187,2021-02-16T17:58:56,,114
2021-02-16T11:46:44.672Z,2021-02-16T11:48:26.632Z,2021-02-16,collect:MISsMtgfFQthUhqA,,,Issa keïta ,Bamako,Commune V,Daoudabougou,,,12.6038319 -7.9758922 378.4599938964844 3.9,12.6038319,-7.9758922,378.4599938964844,3.9,Antenna,Distribution Point,Mobile Phone,Orange Mali ,,2881,c25b8568-b926-46cc-b992-9d9cb2ee03e0,2021-02-16T18:17:14,,115
2021-02-16T18:54:17.531Z,2021-02-16T18:55:25.132Z,2021-02-16,358005081307784,,,Ali badara koné ,Bamako,Commune III,Ouolofobougou Bolibana,,Secteur 1,12.648101666666665 -8.009865 358.7 4.7,12.648101666666665,-8.009865,358.7,4.7,Antenna,Distribution Point,Mobile Phone,Orange Mali,,2904,ebd5eb8b-4648-451b-a2bf-fdffacc4842e,2021-02-16T18:56:34,,116
2021-02-16T10:12:20.469Z,2021-02-16T10:17:07.394Z,2021-02-16,collect:8htkpzfiqj8dFVDp,,,Habibatou sanogo,Bamako,Commune III,Point G,,,12.672155 -7.99539 445.8600183105469 1.82,12.672155,-7.99539,445.8600183105469,1.82,Antenna,Connection Point,Mobile Phone,Orange,,2910,f651e8d9-b81c-4597-9c94-4f5cdf1db11b,2021-02-16T19:16:46,,117
2021-02-16T10:21:35.433Z,2021-02-16T10:22:18.995Z,2021-02-16,collect:8htkpzfiqj8dFVDp,,,Habibatou sanogo,Bamako,Commune III,Point G,,,12.6706587 -7.9949823 445.8600183105469 1.56,12.6706587,-7.9949823,445.8600183105469,1.56,Antenna,Connection Point,Mobile Phone,Orange,,2911,9a1c1010-f7fb-41ad-b9d9-3c11983c4c55,2021-02-16T19:16:46,,118
2021-02-16T10:36:41.440Z,2021-02-16T10:37:30.764Z,2021-02-16,collect:8htkpzfiqj8dFVDp,,,Habibatou sanogo,Bamako,Commune III,Point G,,,12.6706264 -7.9955372 445.8600183105469 4.52,12.6706264,-7.9955372,445.8600183105469,4.52,Antenna,Connection Point,Mobile Phone,Orange,,2912,a2177ba0-b9fe-4a6f-a333-a078d6712ec7,2021-02-16T19:16:47,,119
2021-02-16T10:39:12.026Z,2021-02-16T10:40:46.954Z,2021-02-16,collect:8htkpzfiqj8dFVDp,,,Habibatou sanogo,Bamako,Commune III,Point G,,,12.6708138 -7.9951546 445.8600183105469 4.6,12.6708138,-7.9951546,445.8600183105469,4.6,Antenna,Connection Point,Mobile Phone,Malitel,,2913,27af08d9-a7ef-4329-aad6-f62dc09cdb33,2021-02-16T19:16:47,,120
2021-02-16T10:43:44.936Z,2021-02-16T10:45:14.575Z,2021-02-16,collect:8htkpzfiqj8dFVDp,,,Habibatou sanogo,Bamako,Commune III,Point G,,,12.6703609 -7.9954278 445.8600183105469 4.14,12.6703609,-7.9954278,445.8600183105469,4.14,Antenna,Distribution Point,Mobile Phone,Réseau américain,,2915,68066629-9a2e-4142-9d35-c4dc3f4f382d,2021-02-16T19:16:49,,121
2021-02-16T10:53:21.589Z,2021-02-16T10:54:06.327Z,2021-02-16,collect:8htkpzfiqj8dFVDp,,,Habibatou sanogo,Bamako,Commune III,Point G,,,12.6696127 -7.9952467 445.8600183105469 1.783,12.6696127,-7.9952467,445.8600183105469,1.783,Antenna,Exchange,Mobile Phone,Malitel,,2916,5f7f1ed6-818d-4ff9-b21b-2c9492a92850,2021-02-16T19:16:49,,122
2021-02-16T11:04:24.102Z,2021-02-16T11:05:50.473Z,2021-02-16,collect:8htkpzfiqj8dFVDp,,,Habibatou sanogo,Bamako,Commune III,Point G,,,12.6750932 -7.9980199 445.8600183105469 4.42,12.6750932,-7.9980199,445.8600183105469,4.42,Antenna,Distribution Point,Mobile Phone,"Orange
",,2917,9752ec7f-337f-4050-b193-96f4a2603d4c,2021-02-16T19:16:51,,123
2021-02-16T11:04:41.023Z,2021-02-16T11:05:58.469Z,2021-02-16,collect:vZ1IuJDmO5Vr0btQ,,,Daouda Sangaré,Bamako,Commune V,Daoudabougou,,,12.5998116 -7.9878614 367.8 2.7,12.5998116,-7.9878614,367.8,2.7,Antenna,Distribution Point,Mobile Phone,,,2957,98c21c51-d0e5-4057-91fa-a9da53fe6015,2021-02-16T19:24:54,,124
2021-02-16T09:40:05.237Z,2021-02-16T09:41:05.161Z,2021-02-16,collect:HT5m96BSOrMwBzMD,,,Seydou KONE,Bamako,Commune VI,Faladié,,,12.5928617 -7.957485 358.4993454260881 2.28,12.5928617,-7.957485,358.4993454260881,2.28,Antenna,Connection Point,,Malitel,,3038,c29d525a-8510-4bf9-8a74-3547ac77964e,2021-02-16T19:49:42,,125
2021-02-16T10:10:04.851Z,2021-02-16T10:12:01.883Z,2021-02-16,collect:HT5m96BSOrMwBzMD,,,Seydou KONE,Bamako,Commune VI,Niamakoro,,Halles,12.5923788 -7.966245 360.785857502166 2.2,12.5923788,-7.966245,360.785857502166,2.2,Antenna,,,Orange,,3041,ae23478b-4635-43a1-8071-6a687ddb712e,2021-02-16T19:49:44,,126
